e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q844289,Sicilian Expedition,-0414-01-01T00:00:00Z,-0412-01-01T00:00:00Z,9,military expedition,35,Italy
http://www.wikidata.org/entity/Q1503611,Numantine War,-0142-01-01T00:00:00Z,-0132-01-01T00:00:00Z,9,war,22,Spain
http://www.wikidata.org/entity/Q2497438,Roman Greece,-0145-01-01T00:00:00Z,0330-01-01T00:00:00Z,9,historical period,37,Ancient Rome
http://www.wikidata.org/entity/Q387020,Social War of 357-355 BCE,-0356-01-01T00:00:00Z,-0354-01-01T00:00:00Z,9,war,21,
http://www.wikidata.org/entity/Q1249270,Third Sacred War,-0355-01-01T00:00:00Z,-0345-01-01T00:00:00Z,9,war,19,
http://www.wikidata.org/entity/Q245273,Aetolian League,-0399-01-01T00:00:00Z,-0187-01-01T00:00:00Z,9,koinon,42,
http://www.wikidata.org/entity/Q511257,Twenty-ninth Dynasty of Egypt,-0397-01-01T00:00:00Z,-0377-01-01T00:00:00Z,9,Egyptian dynasty,38,Ancient Egypt
http://www.wikidata.org/entity/Q552373,Fourth Macedonian War,-0149-01-01T00:00:00Z,-0147-01-01T00:00:00Z,9,war,24,
http://www.wikidata.org/entity/Q651855,the Ten Thousand,-0400-01-01T00:00:00Z,-0398-01-01T00:00:00Z,9,military expedition,27,
http://www.wikidata.org/entity/Q651855,the Ten Thousand,-0400-01-01T00:00:00Z,-0398-01-01T00:00:00Z,9,ancient army,27,
http://www.wikidata.org/entity/Q521868,Sulla's Civil War,-0082-01-01T00:00:00Z,-0080-01-01T00:00:00Z,9,civil war,18,Italy
http://www.wikidata.org/entity/Q1647768,First Mithridatic War,-0088-01-01T00:00:00Z,-0084-01-01T00:00:00Z,9,war,29,
http://www.wikidata.org/entity/Q1616064,Mithridatic Wars,-0087-01-01T00:00:00Z,-0062-01-01T00:00:00Z,9,war,38,
http://www.wikidata.org/entity/Q1991765,Second Mithridatic War,-0082-01-01T00:00:00Z,-0080-01-01T00:00:00Z,9,war,24,
http://www.wikidata.org/entity/Q109251,Samnite Wars,-0342-01-01T00:00:00Z,-0289-01-01T00:00:00Z,9,series of wars,45,
http://www.wikidata.org/entity/Q978071,Thirty-first Dynasty of Egypt,-0342-01-01T00:00:00Z,-0331-01-01T00:00:00Z,9,Egyptian dynasty,32,Ancient Egypt
